zpid,price,latitude,longitude,beds,baths,area
29776969,525000.0,40.811995,-73.919353,4.0,3.0,1904.0
29776973,565000.0,40.812076,-73.919541,6.0,3.0,1800.0
29777045,805000.0,40.812729,-73.919133,5.0,3.0,2280.0
29777854,435000.0,40.826804,-73.917024,3.0,2.0,1728.0
29777997,665000.0,40.833573,-73.912594,6.0,3.0,2871.0
29778040,460000.0,40.834289,-73.91114,3.0,4.0,1485.0
29778067,125000.0,40.82952,-73.915947,3.0,2.0,2805.0
29778283,315000.0,40.829286,-73.923677,2.0,2.0,960.0
29778286,400000.0,40.829413,-73.923602,2.0,2.0,960.0
29778296,395000.0,40.837618,-73.923021,5.0,2.0,1516.0
29778327,1200000.0,40.832511,-73.927758,6.0,3.0,3254.0
29778360,435000.0,40.837561,-73.923482,3.0,2.0,1200.0
29778460,455000.0,40.840188,-73.922723,3.0,3.0,1462.0
29778548,485000.0,40.831463,-73.930953,6.0,2.0,2400.0
29778572,490000.0,40.835895,-73.92913,3.0,2.0,1468.0
29778667,300000.0,40.803632,-73.912594,4.0,2.0,1350.0
29778691,350000.0,40.807264,-73.91119,3.0,2.0,1500.0
29778707,650000.0,40.8071,-73.910849,6.0,3.0,2148.0
29778720,500000.0,40.809902,-73.908993,6.0,2.0,1508.0
29778797,645000.0,40.827493,-73.905807,7.0,3.0,3000.0
29778834,475000.0,40.817703,-73.910992,3.0,2.0,1152.0
29778953,440000.0,40.818039,-73.909381,3.0,2.0,1152.0
29779037,435000.0,40.819756,-73.907498,2.0,2.0,1152.0
29779173,305000.0,40.821151,-73.90644,3.0,3.0,1296.0
29779361,375000.0,40.8287,-73.902116,4.0,2.0,1740.0
29779404,270000.0,40.827714,-73.901215,4.0,2.0,1530.0
29779415,285000.0,40.8285,-73.901644,2.0,2.0,1052.0
29779677,461000.0,40.82014,-73.902629,3.0,2.0,1152.0
29779678,460000.0,40.820187,-73.902609,3.0,2.0,1152.0
29780125,680000.0,40.827937,-73.896189,6.0,3.0,1344.0
29780456,470000.0,40.82051,-73.894556,3.0,2.0,1500.0
29780623,505000.0,40.818175,-73.894743,4.0,4.0,2520.0
29780664,425000.0,40.826014,-73.893592,3.0,3.0,1280.0
29781333,525000.0,40.813409,-73.885881,7.0,3.0,2480.0
29781428,400000.0,40.836061,-73.909112,5.0,2.0,1312.0
29781440,434000.0,40.836284,-73.90868,4.0,3.0,1512.0
29781448,400000.0,40.835754,-73.90896,3.0,2.0,2064.0
29781473,420000.0,40.835119,-73.909657,4.0,3.0,1312.0
29781688,287469.0,40.845926,-73.905931,3.0,2.0,1144.0
29781800,405000.0,40.851699,-73.906118,6.0,2.0,2400.0
29781938,597545.0,40.842123,-73.913263,4.0,3.0,3140.0
29782128,815000.0,40.853157,-73.91124,3.0,2.0,1908.0
29782379,560000.0,40.851145,-73.919983,5.0,2.0,1973.0
29782717,615000.0,40.846279,-73.903462,5.0,3.0,1512.0
29782983,475000.0,40.833672,-73.897532,6.0,3.0,2600.0
29783032,695000.0,40.844449,-73.892335,3.0,3.0,1936.0
29783055,955000.0,40.841668,-73.892756,3.0,2.0,1674.0
29783119,420000.0,40.843745,-73.889251,4.0,3.0,1850.0
29783123,455000.0,40.843034,-73.887557,3.0,2.0,1240.0
29783154,450000.0,40.840814,-73.888904,4.0,3.0,1773.0
29783156,449000.0,40.840882,-73.888847,4.0,2.0,1412.0
29783173,369000.0,40.84038,-73.887872,4.0,2.0,2150.0
29783180,320000.0,40.840113,-73.887624,3.0,2.0,968.0
29783192,400000.0,40.840228,-73.887202,5.0,4.0,1498.0
29783291,500000.0,40.832502,-73.893086,3.0,2.0,2980.0
29783296,462150.0,40.8322,-73.893034,3.0,2.0,1152.0
29783310,412000.0,40.83159,-73.893288,3.0,2.0,1152.0
29783364,549000.0,40.834572,-73.893238,3.0,2.0,2112.0
29783403,469487.0,40.830779,-73.898398,3.0,3.0,1518.0
29783457,509000.0,40.831447,-73.89607,3.0,3.0,1500.0
29783499,423000.0,40.830197,-73.894517,3.0,2.0,1152.0
29783619,405000.0,40.828955,-73.893187,3.0,2.0,1188.0
29783650,518000.0,40.832633,-73.892432,3.0,2.0,2112.0
