train_loss_step,epoch,step,validation_loss,train_loss_epoch
1.2986538410186768,0,34,,
,0,34,0.9294282793998718,
,0,34,,6.818803310394287
1.0221103429794312,1,69,,
,1,69,0.7100314497947693,
,1,69,,1.0385960340499878
0.8004478812217712,2,104,,
,2,104,0.7202155590057373,
,2,104,,0.831710159778595
0.8782893419265747,3,139,,
,3,139,0.6872361302375793,
,3,139,,0.7533922791481018
0.7808793783187866,4,174,,
,4,174,0.6793392300605774,
,4,174,,0.7218412756919861
0.8127645254135132,5,209,,
,5,209,0.6879007816314697,
,5,209,,0.7061033844947815
0.7251265048980713,6,244,,
,6,244,0.6872672438621521,
,6,244,,0.6988995671272278
0.6289666891098022,7,279,,
,7,279,0.6912244558334351,
,7,279,,0.7061699628829956
0.7744789719581604,8,314,,
,8,314,0.6926511526107788,
,8,314,,0.6908890008926392
0.6030117273330688,9,349,,
,9,349,0.6809807419776917,
,9,349,,0.6884380578994751
0.705328643321991,10,384,,
,10,384,0.6831339597702026,
,10,384,,0.6862336993217468
0.6915596127510071,11,419,,
,11,419,0.6989791989326477,
,11,419,,0.6881478428840637
0.6461403369903564,12,454,,
,12,454,0.6831227540969849,
,12,454,,0.676415205001831
0.6145380139350891,13,489,,
,13,489,0.6778446435928345,
,13,489,,0.6831099390983582
0.6234918832778931,14,524,,
,14,524,0.6765927672386169,
,14,524,,0.6716017127037048
0.6362231969833374,15,559,,
,15,559,0.6802997589111328,
,15,559,,0.6788095831871033
0.6533514261245728,16,594,,
,16,594,0.6812647581100464,
,16,594,,0.6718590259552002
0.6625679135322571,17,629,,
,17,629,0.679782509803772,
,17,629,,0.6759257316589355
0.6956976652145386,18,664,,
,18,664,0.6778770685195923,
,18,664,,0.6707665324211121
0.675082802772522,19,699,,
,19,699,0.6785540580749512,
,19,699,,0.681483805179596
0.667702317237854,20,734,,
,20,734,0.6973218321800232,
,20,734,,0.6710034608840942
0.6679064631462097,21,769,,
,21,769,0.6750805974006653,
,21,769,,0.6760749816894531
0.6883065104484558,22,804,,
,22,804,0.6842660903930664,
,22,804,,0.6666390895843506
0.6428542137145996,23,839,,
,23,839,0.6772511601448059,
,23,839,,0.6705324053764343
0.6441029906272888,24,874,,
,24,874,0.6885748505592346,
,24,874,,0.6727918982505798
0.5922445058822632,25,909,,
,25,909,0.6796005964279175,
,25,909,,0.6626152396202087
0.6529686450958252,26,944,,
,26,944,0.6766243577003479,
,26,944,,0.6679513454437256
0.6840083003044128,27,979,,
,27,979,0.6809914708137512,
,27,979,,0.6701886057853699
0.6775367856025696,28,1014,,
,28,1014,0.6861168742179871,
,28,1014,,0.6667851209640503
0.6497673392295837,29,1049,,
,29,1049,0.6874507069587708,
,29,1049,,0.6664778590202332
0.6362558603286743,30,1084,,
,30,1084,0.675993800163269,
,30,1084,,0.6629158854484558
0.5972384214401245,31,1119,,
,31,1119,0.6792641282081604,
,31,1119,,0.6634393334388733
0.6388248205184937,32,1154,,
,32,1154,0.6751061677932739,
,32,1154,,0.6654486656188965
0.7516279220581055,33,1189,,
,33,1189,0.6789727807044983,
,33,1189,,0.6693145632743835
0.6616256237030029,34,1224,,
,34,1224,0.6822965741157532,
,34,1224,,0.665898323059082
0.6050329208374023,35,1259,,
,35,1259,0.677749514579773,
,35,1259,,0.6647791266441345
0.6871922016143799,36,1294,,
,36,1294,0.6750567555427551,
,36,1294,,0.6634240746498108
0.6651058793067932,37,1329,,
,37,1329,0.6723469495773315,
,37,1329,,0.6600621938705444
0.6488317251205444,38,1364,,
,38,1364,0.6739650964736938,
,38,1364,,0.6628693342208862
0.6728070378303528,39,1399,,
,39,1399,0.6806223392486572,
,39,1399,,0.6576498746871948
0.7052948474884033,40,1434,,
,40,1434,0.687395453453064,
,40,1434,,0.6561397910118103
0.6640257835388184,41,1469,,
,41,1469,0.6727427244186401,
,41,1469,,0.6678175330162048
0.6443191170692444,42,1504,,
,42,1504,0.6715594530105591,
,42,1504,,0.6626079082489014
0.602855920791626,43,1539,,
,43,1539,0.6707083582878113,
,43,1539,,0.6615567207336426
0.6292586922645569,44,1574,,
,44,1574,0.6732097864151001,
,44,1574,,0.6571492552757263
0.6462300419807434,45,1609,,
,45,1609,0.6732180714607239,
,45,1609,,0.6580530405044556
0.607737123966217,46,1644,,
,46,1644,0.6784792542457581,
,46,1644,,0.6586265563964844
0.6628352999687195,47,1679,,
,47,1679,0.6700841784477234,
,47,1679,,0.6580860614776611
0.6620548963546753,48,1714,,
,48,1714,0.6713466644287109,
,48,1714,,0.6563491225242615
0.7116044759750366,49,1749,,
,49,1749,0.6667230725288391,
,49,1749,,0.6556228995323181
0.6306564211845398,50,1784,,
,50,1784,0.6600942015647888,
,50,1784,,0.6512284874916077
0.7309492826461792,51,1819,,
,51,1819,0.6764180660247803,
,51,1819,,0.6559053063392639
